"","Diptank","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"61","Hlanjwana","2017-08-21","14986","14986",NA,"14986",NA,"14986",NA,"14999","196.333333333333"
"62","Hlanjwana","2017-08-29","14831","14831",NA,"14831",NA,"14831",NA,"14831","549.333333333333"
"63","Hlanjwana","2017-09-06","15204","15204",NA,"15204",NA,"15204",NA,"15218","89.3333333333333"
"64","Hlanjwana","2017-09-14","15032","15032",NA,"15032",NA,"15032",NA,"15032","537.333333333333"
"65","Hlanjwana","2017-09-22","14957","14957",NA,"14957",NA,"14957",NA,"14977","361.333333333333"
"66","Hlanjwana","2017-09-30","15144","15144",NA,"15144",NA,"15144",NA,"15183","2760.33333333333"
"67","Hlanjwana","2017-10-08","15202","15202",NA,"15202",NA,"15202",NA,"15241","2084.33333333333"
"68","Hlanjwana","2017-10-16","15241","15241",NA,"15241",NA,"15241",NA,"15274","1122.33333333333"
"69","Hlanjwana","2017-10-24","15365","15365",NA,"15365",NA,"15365",NA,"15365","3434.33333333333"
"70","Hlanjwana","2017-11-01","15347","15347",NA,"15347",NA,"15347",NA,"15424","3862.33333333333"
"71","Hlanjwana","2017-11-09","15187","15187",NA,"15187",NA,"15187",NA,"15187","18153"
"72","Hlanjwana","2017-11-17","15291","15291",NA,"15291",NA,"15291",NA,"15352","1849"
"73","Hlanjwana","2017-11-25","15215","15215",NA,"15215",NA,"15215",NA,"15289","20409.3333333333"
"74","Hlanjwana","2017-12-03","15449","15449",NA,"15449",NA,"15449",NA,"15410","1444.33333333333"
"75","Hlanjwana","2017-12-11","15024","15024",NA,"15024",NA,"15024",NA,"15066","8868"
"76","Hlanjwana","2017-12-19","15282","15282",NA,"15282",NA,"15282",NA,"15282","1516.33333333333"
"77","Hlanjwana","2017-12-27","15083","15083",NA,"15083",NA,"15083",NA,"15083","169"
"78","Hlanjwana","2018-01-01","15200","15200",NA,"15200",NA,"15200",NA,"15253","2089"
"79","Hlanjwana","2018-01-09","15367","15367",NA,"15367",NA,"15367",NA,"15367","5449.33333333333"
"80","Hlanjwana","2018-01-17","15232","15232",NA,"15232",NA,"15232",NA,"15333","6052.33333333333"
"81","Hlanjwana","2018-01-25","14968","14968",NA,"14968",NA,"14968",NA,"15019","884.333333333333"
"82","Hlanjwana","2018-02-02","14940","14940",NA,"14940",NA,"14940",NA,"15030","2961.33333333333"
"83","Hlanjwana","2018-02-10","15079","15079",NA,"15079",NA,"15079",NA,"15074","2736.33333333333"
"84","Hlanjwana","2018-02-18","14826","14826",NA,"14826",NA,"14826",NA,"14920","9609.33333333333"
"85","Hlanjwana","2018-02-26","15156","15156",NA,"15156",NA,"15156",NA,"15109","3592.33333333333"
"86","Hlanjwana","2018-03-06","15002","15002",NA,"15002",NA,"15002",NA,"15097","3397"
"87","Hlanjwana","2018-03-14","14993","14993",NA,"14993",NA,"14993",NA,"15005","2559"
"88","Hlanjwana","2018-03-22","14998","14998",NA,"14998",NA,"14998",NA,"14998","276.333333333333"
"89","Hlanjwana","2018-03-30","15071","15071",NA,"15071",NA,"15071",NA,"15071","274.333333333333"
"90","Hlanjwana","2018-04-07","14822","14822",NA,"14822",NA,"14822",NA,"14873","1500.33333333333"
"91","Hlanjwana","2018-04-15","14900","14900",NA,"14900",NA,"14900",NA,"14889","121"
"92","Hlanjwana","2018-04-23","14926","14926",NA,"14926",NA,"14926",NA,"14934","91"
"93","Hlanjwana","2018-05-01","14849","14849",NA,"14849",NA,"14849",NA,"14869","581.333333333333"
"94","Hlanjwana","2018-05-09","14773","14773",NA,"14773",NA,"14773",NA,"14825","1648"
"95","Hlanjwana","2018-05-17","14800","14800",NA,"14800",NA,"14800",NA,"14800","41.3333333333333"
"96","Hlanjwana","2018-05-25","14833","14833",NA,"14833",NA,"14833",NA,"14788","903"
"97","Hlanjwana","2018-06-02","14670","14670",NA,"14670",NA,"14670",NA,"14690","133.333333333333"
"98","Hlanjwana","2018-06-10","14801","14801",NA,"14801",NA,"14801",NA,"14803","13"
"99","Hlanjwana","2018-06-18","14796","14796",NA,"14796",NA,"14796",NA,"14795","4.33333333333333"
"100","Hlanjwana","2018-06-26","14725","14725",NA,"14725",NA,"14725",NA,"14725","273"
"101","Hlanjwana","2018-07-04","14695","14695",NA,"14695",NA,"14695",NA,"14695","105.333333333333"
"102","Hlanjwana","2018-07-12","14650","14650",NA,"14650",NA,"14650",NA,"14744","3985.33333333333"
"103","Hlanjwana","2018-07-20","14794","14794",NA,"14794",NA,"14794",NA,"14802","124"
"104","Hlanjwana","2018-07-28","14805","14805",NA,"14805",NA,"14805",NA,"14799","372"
"105","Hlanjwana","2018-08-05","14723","14723",NA,"14723",NA,"14723",NA,"14723","2137.33333333333"
"106","Hlanjwana","2018-08-13","14913","14913",NA,"14913",NA,"14913",NA,"14894","192.333333333333"
"107","Hlanjwana","2018-08-21","14778","14778",NA,"14778",NA,"14778",NA,"14778","2581.33333333333"
"108","Hlanjwana","2018-08-29","15007","15007",NA,"15007",NA,"15007",NA,"15010","549"
"109","Hlanjwana","2018-09-06","14966","14966",NA,"14966",NA,"14966",NA,"14972","36"
"110","Hlanjwana","2018-09-14","15075","15075",NA,"15075",NA,"15075",NA,"15075","3072"
"111","Hlanjwana","2018-09-22","15146","15146",NA,"15146",NA,"15146",NA,"15194","1008"
"112","Hlanjwana","2018-09-30","14954","14954",NA,"14954",NA,"14954",NA,"14954","1434.33333333333"
"113","Hlanjwana","2018-10-08","15162","15162",NA,"15162",NA,"15162",NA,"15186","732"
"114","Hlanjwana","2018-10-16","14662","14662",NA,"14662",NA,"14662",NA,"14780","6814.33333333333"
"115","Hlanjwana","2018-10-24","15311","15311",NA,"15311",NA,"15311",NA,"15316","1393"
